ISO3_CODE,COUNTRY_NAME,AREA,maus_id,area_km2,d_ind_km,nearest_ind,industrial_flag,proposed_label,source,lon,lat,poly,area_ha,ndvi,tex,npts,industrial_new,industrial_old
GHA,Ghana,2.192339305755855,GHA_M00103,2.1828889918855916,34.37974584253386,Nsuta,False,"mining, unclassified",MausV2 (GHA box),-1.8780943449846679,4.968855130981827,103,218.2888991885527,0.5528255701065063,0.0481139999197241,3.0,True,False
GHA,Ghana,0.6963285302298056,GHA_M00104,0.6933479765297408,11.474271327136412,Asanko (Manso Nkwanta),False,"mining, unclassified",MausV2 (GHA box),-1.8412586436245595,6.571219784408938,104,69.33479765296278,0.34597286581993103,0.0263878724258041,2.0,True,False
GHA,Ghana,1.25420074262139,GHA_M00105,1.248824557908779,5.050296659554688,Asanko (Manso Nkwanta),False,"mining, unclassified",MausV2 (GHA box),-1.9026935101823172,6.521872444117564,105,124.88245579088048,0.7076089978218079,0.0291389502244923,1.0,True,False
GHA,Ghana,1.0831996609357584,GHA_M00106,1.0785704211267721,19.040970203892492,Asanko (Manso Nkwanta),False,"mining, unclassified",MausV2 (GHA box),-1.7990140926449532,6.624207042563958,106,107.85704211269321,,,,True,False
GHA,Ghana,0.31432018198966793,GHA_M00107,0.31297673909882184,18.976873855724236,Asanko (Manso Nkwanta),False,"mining, unclassified",MausV2 (GHA box),-1.794290366568683,6.619053159467646,107,31.297673909880412,,,,True,False
GHA,Ghana,0.7384861075201344,GHA_M00108,0.735330686487979,20.559286227516168,Asanko (Manso Nkwanta),False,"mining, unclassified",MausV2 (GHA box),-1.7851326954313143,6.62862301418227,108,73.53306864880312,0.4764096736907959,0.0198661446355073,1.0,True,False
GHA,Ghana,0.9889425589273384,GHA_M00109,0.9847176910060726,20.011360983165456,Asanko (Manso Nkwanta),False,"mining, unclassified",MausV2 (GHA box),-1.7940688496964121,6.6370848920043475,109,98.47176910061627,0.2781124114990234,0.021252069204506,1.0,True,False
GHA,Ghana,3.3377313994752926,GHA_M00110,3.3234371016788353,9.66744751300771,Asanko (Manso Nkwanta),False,"mining, unclassified",MausV2 (GHA box),-1.841338925085075,6.5495940609593335,110,332.3437101678477,0.6635745167732239,0.0265863632337695,9.0,True,False
GHA,Ghana,0.31052886391115697,GHA_M00111,0.3091958699455311,3.734660051528394,Asanko (Manso Nkwanta),True,industrial,MausV2 (GHA box),-1.8474114040503125,6.448308297561226,111,30.91958699457072,,,,True,True
GHA,Ghana,0.5389110850949065,GHA_M00112,0.5365983360361736,3.4993629854312163,Asanko (Manso Nkwanta),True,industrial,MausV2 (GHA box),-1.8440062855882866,6.459689525680176,112,53.65983360362642,,,,True,True
GHA,Ghana,3.6999720246790777,GHA_M00113,3.684125576816775,34.59017830102083,Obuasi,False,"mining, unclassified",MausV2 (GHA box),-1.4599250449217875,6.383894495994452,113,368.4125576817079,0.58382448554039,0.0228431738523372,6.0,True,False
GHA,Ghana,0.213261495220835,GHA_M00114,0.21234801719163726,36.14029534852786,Obuasi,False,"mining, unclassified",MausV2 (GHA box),-1.4539163627326643,6.374452915657842,114,21.23480171916762,0.3035638630390167,0.0210357875961092,1.0,True,False
GHA,Ghana,6.805797102696703,GHA_M00115,6.776628725555019,31.023355688783642,Obuasi,False,"mining, unclassified",MausV2 (GHA box),-1.5142500171440232,6.3850977930167865,115,677.6628725554037,0.5714881420135498,0.0231404844226893,11.0,True,False
GHA,Ghana,0.163311148961639,GHA_M00116,0.16261162990355207,35.343842085165626,Obuasi,False,"mining, unclassified",MausV2 (GHA box),-1.4876013227571747,6.397130386335189,116,16.261162990369968,,,,False,False
GHA,Ghana,1.1570274232666706,GHA_M00117,1.1520772250951705,17.521533969201766,Asanko (Manso Nkwanta),False,"mining, unclassified",MausV2 (GHA box),-1.9758628476136637,6.60671198119064,117,115.2077225095072,,,,True,False
