id,lon,lat,kind,NDVI_p50,NDWI_p50,B11_p50,B12_p50
TAP_P01915,-57.5975102254644,-5.571772833377031,vegetated,0.8083670735359192,-0.6889337301254272,0.1861999928951263,0.0838999971747398
TAP_P01916,-55.99169927489488,-6.182673615251865,vegetated,0.8522409200668335,-0.7484975457191467,0.1628500074148178,0.065600000321865
TAP_P01917,-56.77147161427692,-7.5905849071967,vegetated,0.747882068157196,-0.6551030874252319,0.1841000020503997,0.0913000032305717
TAP_P01919,-56.99126896825301,-7.1417023432915805,vegetated,0.6105098128318787,-0.508013904094696,0.1698250025510788,0.0860499963164329
TAP_P01921,-57.51112190510406,-4.895596619831904,vegetated,0.7862680554389954,-0.6648241877555847,0.1682000011205673,0.0747999995946884
TAP_P01922,-57.48816195059566,-5.173748905200287,vegetated,0.7876236438751221,-0.6671948432922363,0.1659000068902969,0.0711499974131584
TAP_P01924,-56.72189941157686,-5.608930604605616,vegetated,0.864313006401062,-0.7324287295341492,0.1987500041723251,0.0868000015616417
TAP_P01925,-56.50985157301012,-6.865243787285039,vegetated,0.5926395654678345,-0.531724750995636,0.2178000062704086,0.123099997639656
TAP_P01926,-56.956472594567366,-6.963399796991308,vegetated,0.8239538073539734,-0.7138748168945312,0.1545249968767166,0.0654499977827072
TAP_P01927,-56.6859109438434,-5.816818639634803,vegetated,0.8581196665763855,-0.745215654373169,0.1500000059604644,0.0653999969363212
TAP_P01928,-57.281123366157416,-7.17111176924092,vegetated,0.8666532635688782,-0.7589473128318787,0.1622000038623809,0.0663999989628791
TAP_P01930,-56.68356840408151,-7.620362470590747,vegetated,0.8400012850761414,-0.751549243927002,0.1297000050544738,0.0540000014007091
TAP_P01932,-56.72702627288478,-5.287570228105541,vegetated,0.4452367722988128,-0.4226391613483429,0.1342000067234039,0.0681999996304512
TAP_P01933,-56.71954052532531,-6.629578508722311,vegetated,0.6673627495765686,-0.5956600308418274,0.1659500002861023,0.0819500014185905
TAP_P01934,-57.06087842600652,-5.5559752315284605,vegetated,0.8448225855827332,-0.7441364526748657,0.1697999984025955,0.0719000026583671
TAP_P01937,-56.38054223481199,-6.483486832825049,vegetated,0.5146198868751526,-0.5112468600273132,0.2063000053167343,0.1111000031232833
TAP_P01938,-57.19598300177275,-7.376606631362412,vegetated,0.8256752490997314,-0.7332407236099243,0.148499995470047,0.0621000006794929
